country,area,location,latitude,longitude,match_type
SOUTH AFRICA,KwaZulu-Natal,Umtentweni,-30.7229699,30.468169,location
USA,Florida,"South side of Ponce de Leon Inlet, Volusia County",29.0667351,-80.9130996,location
BAHAMAS,Abaco Islands,Grand Cay,27.22727,-78.33653,location
SOUTH AFRICA,Western Cape Province,Kogebaai,-34.23132,18.84224,location
USA,Florida,"11 miles off Dog Island in the Gulf of Mexico, Franklin County",29.812549468694,-84.798088184815,location
AUSTRALIA,South Australia,Middleton Beach,-35.5138,138.7201,location
USA,Oregon,Winchester Bay,43.679382,-124.173781,location
SOUTH AFRICA,Eastern Cape Province,Kowie River,-33.60374,26.90267,location
SOUTH AFRICA,Eastern Cape Province,Pollock Beach,-33.98563,25.67222,location
USA,Florida,"Jensen Beach Park, Martin County",27.255283,-80.196922,location
USA,Florida,"Loggerhead Park, Juno Beach, Palm Beach County",26.8848,-80.0555,location
USA,California,"Dillon Beach, Marin County",38.250001,-122.964719,location
BRAZIL,Pernambuco,Piedade,-8.1643796,-34.9208961,location
USA,Hawaii,"Paukukalo, Maui",20.90541,-156.48477,location
MEXICO,Quintana Roo,"Santa Rosa Shallows, Cozumel",21.074171945,-87.028452777,location
AUSTRALIA,Queensland,"North Point Beach, Moreton Island",-27.027,153.4515,location
USA,North Carolina,Wreck of the U-352,31.311211420291,-86.461668965638,location
USA,Hawaii,"Cannons, at Ha'ena on the north shore of Kaua'i Island",22.2,-159.58333,location
USA,Hawaii,"Ma'ili Beach, O'ahu",21.489932337175,-158.081743413411,location
AUSTRALIA,Western Australia,Scarborough,-31.896191295,115.764497427,location
SOUTH AFRICA,Eastern Cape Province,Cape Recife,-34.03172,25.70371,location
AUSTRALIA,Queensland,Greenmount Beach,-28.1662,153.5426,location
SOUTH AFRICA,Western Cape Province,Melkbosstrand,-33.72614,18.44286,location
BAHAMAS,Great Exuma Island,Highborn Cay,23.57476,-75.88966,location
CHILE,Valpariso Province,Valpariso,-32.9846,-71.5315,location
DOMINICAN REPUBLIC,Between DR and Puerto Rico,Mona Passage,18.5014814,-69.9368286,location
SOUTH AFRICA,KwaZulu-Natal,LaMercy,-29.639576211806,31.130160631059,location
SOUTH AFRICA,Western Cape Province,Arniston,-34.66739,20.23086,location
