year,month,day,hour,latitude,longitude,sea_surface_temp,wind_speed,wave_height,wave_period,swell_height,swell_period,attack
2014.0,10.0,29,18.0,-31.994860771,152.57131187,22.0,9.3,1.0,4.0,1.5,13.0,1
2012.0,3.0,6,11.0,-37.8206249,144.9582204,25.8,8.2,1.0,5.0,1.0,9.5,1
2015.0,4.0,26,13.0,25.71,-81.25,29.6,5.0,1.0,5.0,1.0,9.5,0
2012.0,11.0,19,17.0,28.068399,-80.558423,20.6,5.0,1.0,9.0,0.5,11.0,1
2014.0,12.0,3,7.0,36.7446588,-3.5166661,16.7,5.1,1.0,5.0,1.0,9.5,1
2011.0,6.0,6,5.0,28.42,-80.59,27.7,1.8,1.0,5.0,1.0,9.5,0
2011.0,8.0,17,16.0,34.213812,-77.805529,29.1,6.2,1.0,5.0,1.0,9.5,1
2015.0,10.0,28,11.07,21.7,-158.1,26.2,5.0,1.5,10.0,3.5,18.0,0
2016.0,3.0,28,12.0,26.452409,-81.953765,25.8,4.1,1.0,5.0,1.0,9.5,1
2016.0,10.0,29,12.0,30.394745,-81.410855,23.8,6.2,1.0,5.0,1.0,9.5,1
2016.0,7.0,8,5.4,36.61,-121.89,14.3,4.1,1.0,5.0,1.0,9.5,0
2015.0,1.0,1,12.0,27.788649831934,-80.41580966394,25.8,6.7,1.0,5.0,1.0,9.5,1
2016.0,10.0,14,9.0,20.724887,-156.4490193,26.5,8.2,1.0,5.0,1.0,9.5,1
2017.0,7.0,14,22.0,-31.9,114.9,19.2,11.3,1.0,5.0,1.0,9.5,0
2011.0,6.0,15,0.0,-21.6,55.7,25.0,6.7,0.5,3.0,1.5,10.0,0
2013.0,8.0,31,6.0,25.3,-75.9,30.0,6.7,1.0,3.0,1.0,9.5,0
2016.0,9.0,11,15.0,30.094227,-81.405774,29.4,1.0,1.0,5.0,1.0,9.5,1
2015.0,1.0,19,12.0,-28.6364,153.6338,28.0,7.7,1.0,6.0,1.5,8.0,1
2014.0,5.0,24,12.0,-27.99694,153.42,25.8,3.6,0.5,2.0,1.0,5.0,1
2016.0,8.0,7,6.0,25.4,-77.3,29.0,8.7,1.0,3.0,0.5,1.0,0
2013.0,8.0,14,16.0,20.6558129,-156.4382664,26.6,6.7,1.0,5.0,1.0,9.5,1
2015.0,1.0,6,16.0,26.379785790043,-77.253591852932,25.3,5.0,1.0,5.0,1.0,9.5,1
2011.0,8.0,28,18.0,27.82,-97.2,32.4,2.6,1.0,5.0,1.0,9.5,0
2011.0,1.0,26,15.0,26.68711,-78.97702,25.8,5.1,1.0,5.0,1.0,9.5,1
2013.0,7.0,28,11.0,27.22727,-78.33653,27.9,5.0,1.0,5.0,1.0,9.5,1
2015.0,10.0,28,14.0,21.318546,-157.87481,25.8,5.4,1.0,5.0,1.0,9.5,1
2016.0,1.0,23,12.0,20.681265,-156.443428,25.8,7.5,1.0,5.0,1.0,9.5,1
2014.0,3.0,12,19.2,-33.57,152.11,26.0,5.0,1.0,5.0,1.0,9.5,0
2014.0,11.0,29,6.0,-32.6036296,115.6310248,20.8,8.2,1.0,5.0,1.0,9.5,1
2012.0,5.0,12,14.0,35.5838357,-121.1214314,12.1,5.0,1.0,10.0,1.0,12.0,1
2011.0,7.0,7,12.0,27.73948,-97.13166,30.6,2.6,1.0,5.0,1.0,9.5,1
2016.0,9.0,17,12.0,40.741892,-124.210936,14.2,4.1,1.0,5.0,1.0,9.5,1
2016.0,6.0,15,1.0,21.48,-159.51,25.6,5.0,1.0,5.0,1.0,9.5,0
2014.0,1.0,1,9.0,-46.6,167.9,14.0,10.3,1.0,2.0,2.0,5.0,0
2014.0,3.0,21,2.0,26.6,-79.6,28.0,6.7,1.0,4.0,1.0,4.0,0
2014.0,7.0,16,17.0,20.91697,-156.38332,26.8,9.8,1.0,5.0,1.0,9.5,1
2012.0,6.0,14,12.0,33.68785,-78.883852,25.8,5.0,1.0,5.0,1.0,9.5,1
2017.0,8.0,10,13.0,32.127936,-80.7899915,28.5,4.1,1.0,5.0,1.0,9.5,1
2013.0,9.0,7,15.0,28.42,-80.59,28.9,1.5,1.0,5.0,1.0,9.5,0
2013.0,9.0,2,13.0,29.2774764,-81.0417589,25.8,1.0,1.0,5.0,1.0,9.5,1
2016.0,5.0,3,9.65,21.0,-156.4,24.9,5.0,1.5,9.0,0.5,11.0,0
2013.0,11.0,29,15.35,21.0,-156.4,25.6,5.0,2.0,6.0,2.0,17.0,0
2013.0,6.0,18,17.48,19.99,-156.16,24.8,5.0,1.0,5.0,1.0,9.5,0
2012.0,6.0,18,11.0,33.900049282896,-78.061581994137,25.8,5.0,1.0,5.0,1.0,9.5,1
2015.0,9.0,18,0.85,30.7,-81.3,27.6,5.0,2.0,6.0,1.0,9.5,0
2015.0,8.0,19,16.8,30.19,-81.69,30.3,2.1,1.0,5.0,1.0,9.5,0
2016.0,6.0,23,12.0,-34.60931,20.32919,16.1,5.0,1.0,5.0,1.0,9.5,1
2017.0,3.0,7,12.0,25.825040274,-97.152136519,21.6,5.1,1.0,5.0,1.0,9.5,1
2016.0,7.0,15,14.9,33.66,-78.92,28.4,6.7,1.0,5.0,1.0,9.5,0
2011.0,7.0,5,0.0,10.3,-75.9,29.0,3.6,0.5,3.0,1.0,9.5,0
2012.0,10.0,18,18.22,20.8,-157.0,26.3,5.0,1.0,7.0,0.5,13.0,0
2015.0,6.0,30,22.83,32.5,-79.1,28.3,9.0,1.0,4.0,0.5,7.0,0
2014.0,8.0,27,22.03,33.91,-78.15,27.6,3.1,1.0,5.0,1.0,9.5,0
2016.0,4.0,9,0.0,-21.8,166.5,29.0,7.7,1.0,5.0,1.0,9.5,0
2014.0,6.0,1,6.0,25.9,-79.9,28.5,11.3,1.0,2.0,1.0,9.5,0
2015.0,7.0,26,10.0,32.4824626,-80.3279385,25.8,2.1,1.0,5.0,1.0,9.5,1
2012.0,3.0,14,4.0,28.42,-80.59,22.3,2.1,1.0,5.0,1.0,9.5,0
2014.0,3.0,22,12.0,26.4616338,-80.0731071,24.1,8.2,1.0,5.0,1.0,9.5,1
2017.0,8.0,27,13.0,27.186389,-80.160408,26.1,5.0,0.5,8.0,1.0,9.5,1
2015.0,6.0,17,13.0,29.170157,-80.980442,25.8,1.0,1.0,5.0,1.0,9.5,1
2017.0,7.0,20,9.0,34.2,-119.4,18.9,5.0,1.0,6.0,0.5,11.0,0
2016.0,4.0,7,12.0,24.66709,-81.58314,26.6,3.6,1.0,5.0,1.0,9.5,1
2011.0,11.0,22,21.2,36.6,-121.9,12.7,5.0,0.5,10.0,0.5,11.0,0
