attack_id,date,year,month,hour,country,area,location,activity,fatal,attack_latitude,attack_longitude,noaa_latitude,noaa_longitude,sea_surface_temp,wind_speed,wave_height,wave_period,swell_height,swell_period,distance_km
27,2011-04-22,2011.0,4.0,15.0,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,0.0,29.029722,-80.9237495,28.42,-80.59,26.1,2.8,,,,,75.2043515779445
55,2011-07-05,2011.0,7.0,10.0,COLUMBIA,Sucre,"Libertad, San Onofre",Kayaking,0.0,9.90626,-75.58555,10.3,-75.6,,,,,,,43.81052610081982
243,2013-01-26,2013.0,1.0,,AUSTRALIA,Victoria,Cape Nelson,Fishing,0.0,-38.43333,141.55,-38.5,141.5,18.7,4.1,,,,,8.596966549347284
294,2013-07-22,2013.0,7.0,13.0,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Swimming,1.0,-8.12772,-34.89827,-8.15,-34.57,,8.0,2.0,9.0,,,36.21918993989971
367,2014-04-04,2014.0,4.0,13.0,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,0.0,29.029722,-80.9237495,28.42,-80.59,23.1,3.1,,,,,75.2043515779445
442,2014-10-12,2014.0,10.0,15.0,USA,Florida,"Melbourne Beach, Brevard County",Body surfing or Boogie boarding,0.0,28.068399,-80.558423,27.86,-80.45,,5.1,,,,,25.50244399392663
500,2015-05-20,2015.0,5.0,10.0,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,0.0,29.029722,-80.9237495,28.42,-80.59,27.5,3.6,,,,,75.2043515779445
70,2011-08-17,2011.0,8.0,17.0,USA,North Carolina,"Kure Beach, New Hanover County",Wading,0.0,33.998255,-77.906651,34.16,-77.85,,1.0,,,,,18.72675941895582
288,2013-07-02,2013.0,7.0,,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",Body surfing,0.0,-38.454765047,144.987693038,-38.3,144.8,13.4,7.7,,,,,23.74537472921781
298,2013-07-29,2013.0,7.0,14.0,USA,Hawaii,"White Plains Beach, Oahu",Surfing,0.0,21.3035,-158.0452,21.3,-158.1,26.8,,1.0,10.0,1.0,12.0,5.6905089906396
310,2013-08-31,2013.0,8.0,,BAHAMAS,Unknown,Freetown Beach,Spearfishing,0.0,24.7761474,-76.3035138,25.3,-75.9,30.0,6.7,1.0,3.0,,,71.03261929579709
358,2014-03-02,2014.0,3.0,,USA,Florida,"Santa Lucea Beach, South Hutchinson Island, St. Lucie County",Surfing,0.0,27.286106,-80.223526,27.6,-80.2,22.6,,1.0,10.0,0.5,11.0,34.9805998828081
521,2015-06-26,2015.0,6.0,19.0,USA,Florida,"Jacksonville Beach, Duval County",Swimming,,30.2881812,-81.3920144,30.38,-81.45,,,,,,,11.627946899496633
647,2016-05-29,2016.0,5.0,16.0,USA,California,"Corona Del Mar, Newport, Orange County",Swimming,0.0,33.606988443995,-117.874217169872,33.6,-118.2,17.6,,0.5,8.0,0.5,15.0,30.18172090586257
654,2016-06-07,2016.0,6.0,11.0,USA,South Carolina,"Folly Beach, Charleston County",Surfing,,32.655954,-79.941069,32.69,-79.89,,4.6,,,,,6.097617925000881
738,2017-02-06,2017.0,2.0,,SOUTH AFRICA,KwaZulu-Natal,Eastmoor Crescent Beach,Fishing,0.0,-29.742413869127,31.078229588043,-29.6,31.2,24.0,13.4,1.0,5.0,1.0,6.0,19.72770570090095
755,2017-04-10,2017.0,4.0,17.0,USA,Florida,"Melbourne Beach, Brevard County",Paddle boarding,0.0,28.068399,-80.558423,28.2,-80.4,23.5,6.7,,,,,21.341403593208742
40,2011-05-30,2011.0,5.0,15.0,USA,Texas,"Follett's Island, Brazoria County",Standing or boogie boardin,0.0,29.04247,-95.16965,28.93,-95.3,28.2,7.7,,,,,17.808747054800463
133,2012-01-27,2012.0,1.0,11.0,USA,Hawaii,Lanai,Snorkeling,0.0,20.82757,-156.92399,20.8,-157.0,24.4,,1.0,10.0,0.5,13.0,8.474314889140604
412,2014-08-08,2014.0,8.0,,USA,Louisiana,"Lake Ponchartain off Southshore Harbor, New Orleans",Swimming,0.0,29.958559823056,-90.17922065479,29.93,-90.14,28.5,,,,,,4.9361771889500075
580,2015-10-19,2015.0,10.0,13.0,USA,Florida,"Deerfield Beach, Broward County",Surfing,0.0,26.3205843,-80.0997809,26.3,-80.0,29.1,10.8,,,,,10.205743025755934
